"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"CBT + stimulants:waiting list",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"cognitive remediation:DBT",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT:mindfulness",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT:neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT:physical training",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT:psychological placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"DBT:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"cognitive remediation:mindfulness",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"cognitive remediation:neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"cognitive remediation:physical training",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"cognitive remediation:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"cognitive remediation:psychological placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"cognitive remediation:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"cognitive remediation:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:physical training",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:psychological placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"mindfulness:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"neurofeedback:physical training",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"neurofeedback:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"neurofeedback:psychological placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"neurofeedback:relaxation therapy",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"neurofeedback:waiting list",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"physical training:psychoeducation",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"physical training:psychological placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"physical training:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"physical training:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"psychoeducation:psychological placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"psychoeducation:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"psychoeducation:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"psychoeducation:waiting list",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"psychological placebo:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"psychological placebo:sham + neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"psychological placebo:waiting list",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Low","[]"
"relaxation therapy:sham + neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"relaxation therapy:waiting list",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
"sham + neurofeedback:waiting list",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","Very low","[]"
