"random OR","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"cognitive remediation:psychological placebo",14.8254,0.9209,0,1.24,0.438,0.4962,0.4331,0.4199,5.1587,0,0,32.0173,32.0173,1.354,1.24,0,9.4392
"cognitive remediation:relaxation therapy",14.8254,0.9209,0,1.24,0.438,0.4962,0.4331,0.4199,5.1587,32.0173,0,0,32.0173,1.354,1.24,0,9.4392
"cognitive remediation:sham + neurofeedback",13.9197,0.7674,0,0.992,0.365,0.4135,0.3609,0.3499,4.8435,0,37.2589,0,29.7462,1.1283,0.992,0,8.8626
"mindfulness:neurofeedback",8.1484,9.2479,0,0.63,5.4346,6.1567,4.3488,5.2104,2.8353,0,38.5733,0,0,13.5967,0.63,0,5.188
"mindfulness:physical training",4.0574,5.7218,0,0.36,10.6724,12.0905,2.6907,10.2321,1.4118,0,0,0,0,8.4125,0.36,41.4075,2.5833
"mindfulness:psychological placebo",9.4156,9.2479,0,0.7875,6.299,7.136,4.3488,6.0392,3.2762,0,0,33.0708,0,13.5967,0.7875,0,5.9948
"mindfulness:relaxation therapy",9.4156,9.2479,0,0.7875,6.299,7.136,4.3488,6.0392,3.2762,33.0708,0,0,0,13.5967,0.7875,0,5.9948
"mindfulness:sham + neurofeedback",8.1496,9.2479,0,0.63,5.4354,6.1576,4.3488,5.2112,2.8357,0,38.5683,0,0,13.5967,0.63,0,5.1888
"neurofeedback:physical training",13.9185,0.7674,0,0.992,0.365,0.4135,0.3609,0.3499,4.8431,0,37.2639,0,0,1.1283,0.992,29.7437,8.8618
"neurofeedback:psychoeducation",4.6862,6.6024,0,0.4067,3.1398,3.557,3.1047,3.0103,1.6306,0,43.381899999999995,0,0,27.09,0.4067,0,2.9837
"neurofeedback:psychological placebo",0,0,0,0,0,0,0,0,0,0,55.555,44.445,0,0,0,0,0
"neurofeedback:relaxation therapy",0,0,0,0,0,0,0,0,0,44.445,55.555,0,0,0,0,0,0
"neurofeedback:waiting list",20.4242,0.9209,0,1.24,0.438,0.4962,0.4331,0.4199,7.1068,0,52.923,0,0,1.354,1.24,0,13.004
"physical training:psychoeducation",7.5395,11.9232,0,0.63,5.6701,6.4236,5.6068,5.4362,2.6234,0,0,0,0,15.5933,0.63,33.1233,4.8004
"physical training:psychological placebo",14.8254,0.9209,0,1.24,0.438,0.4962,0.4331,0.4199,5.1587,0,0,32.0173,0,1.354,1.24,32.0173,9.4392
"physical training:relaxation therapy",14.8254,0.9209,0,1.24,0.438,0.4962,0.4331,0.4199,5.1587,32.0173,0,0,0,1.354,1.24,32.0173,9.4392
"physical training:sham + neurofeedback",13.9197,0.7674,0,0.992,0.365,0.4135,0.3609,0.3499,4.8435,0,37.2589,0,0,1.1283,0.992,29.7462,8.8626
"psychoeducation:psychological placebo",5.4644,7.7083,0,0.488,3.6657,4.1528,3.6247,3.5145,1.9014,0,0,38.423,0,27.09,0.488,0,3.4792
"psychoeducation:relaxation therapy",5.4644,7.7083,0,0.488,3.6657,4.1528,3.6247,3.5145,1.9014,38.423,0,0,0,27.09,0.488,0,3.4792
"psychoeducation:sham + neurofeedback",4.687,6.6034,0,0.4067,3.1403,3.5576,3.1052,3.0108,1.6309,0,43.377399999999994,0,0,27.09,0.4067,0,2.9842
"psychoeducation:waiting list",11.3093,17.8848,0,0.84,8.5052,9.6354,8.4102,8.1544,3.9352,0,0,0,0,23.285,0.84,0,7.2005
"psychological placebo:relaxation therapy",0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0
"psychological placebo:sham + neurofeedback",0,0,0,0,0,0,0,0,0,0,55.550000000000004,44.45,0,0,0,0,0
"psychological placebo:waiting list",22.2382,1.1512,0,1.6533,0.5474,0.6202,0.5413,0.5249,7.738,0,0,47.4808,0,1.6925,1.6533,0,14.1589
"relaxation therapy:sham + neurofeedback",0,0,0,0,0,0,0,0,0,44.45,55.550000000000004,0,0,0,0,0,0
"relaxation therapy:waiting list",22.2382,1.1512,0,1.6533,0.5474,0.6202,0.5413,0.5249,7.738,47.4808,0,0,0,1.6925,1.6533,0,14.1589
"sham + neurofeedback:waiting list",20.4268,0.9209,0,1.24,0.438,0.4962,0.4331,0.4199,7.1077,0,52.918,0,0,1.354,1.24,0,13.0056
