"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"mindfulness + TAU:neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"mindfulness + TAU:no treatment",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"mindfulness + TAU:psychoeducation",0,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"mindfulness + TAU:relaxation therapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"mindfulness + TAU:sham + neurofeedback",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"mindfulness + TAU:waiting list",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"neurofeedback:no treatment",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"neurofeedback:psychoeducation",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
"neurofeedback:relaxation therapy",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"neurofeedback:waiting list",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"no treatment:psychoeducation",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"no treatment:relaxation therapy",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"no treatment:sham + neurofeedback",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"no treatment:waiting list",0,"Major concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"psychoeducation:relaxation therapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"psychoeducation:sham + neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"psychoeducation:waiting list",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","Some concerns","Moderate","[]"
"relaxation therapy:sham + neurofeedback",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","Some concerns","Very low","[]"
"sham + neurofeedback:waiting list",0,"No concerns","Low risk","No concerns","Some concerns","Some concerns","Some concerns","Low","[]"
