"random SMD","CBT:CBT + stimulants","CBT:cognitive training","CBT:DBT","CBT:hypnotherapy","CBT:neurofeedback","CBT:no treatment","CBT:psychoeducation","CBT:relaxation therapy","CBT:sham + neurofeedback","CBT:TAU","CBT + TAU:TAU","CBT:waiting list","cognitive placebo:cognitive training","cognitive training:hypnotherapy","cognitive training:no treatment","DBT + TAU:TAU","DBT:waiting list","hypnotherapy:no treatment","mindfulness:psychoeducation","mindfulness + TAU:TAU","mindfulness:waiting list","neurofeedback:sham + neurofeedback","relaxation therapy:waiting list"
"CBT + stimulants:DBT + TAU",33.3333,0,0,0,0,0,0,0,0,33.3333,0,0,0,0,0,33.3333,0,0,0,0,0,0,0
"CBT + stimulants:TAU",50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBT + stimulants:cognitive placebo",29.1423,16.6533,0,5.8825,0,6.6065,0,0,0,0,0,0,29.1423,5.9665,6.5225,0,0,0.084,0,0,0,0,0
"CBT + stimulants:cognitive training",41.625,24.98,0,7.8433,0,8.8017,0,0,0,0,0,0,0,7.9483,8.6967,0,0,0.105,0,0,0,0,0
"CBT + stimulants:hypnotherapy",41.44,8.21,0,24.435,0,8.795,0,0,0,0,0,0,0,8.325,0.115,0,0,8.68,0,0,0,0,0
"CBT + stimulants:mindfulness",31.89,0,1.5825,0,0,0,7.59,2.7475,0,0,0,19.97,0,0,0,0,1.5825,0,7.59,0,24.3,0,2.7475
"CBT + stimulants:mindfulness + TAU",33.3333,0,0,0,0,0,0,0,0,33.3333,0,0,0,0,0,0,0,0,0,33.3333,0,0,0
"CBT + stimulants:neurofeedback",44.435,0,0,0,33.305,0,0,0,11.13,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0
"CBT + stimulants:no treatment",42.1208,8.06,0,7.6958,0,26.365,0,0,0,0,0,0,0,0.0025,8.0625,0,0,7.6933,0,0,0,0,0
"CBT + stimulants:psychoeducation",34.74,0,0.958,0,0,0,20.79,1.662,0,0,0,11.33,0,0,0,0,0.958,0,13.95,0,13.95,0,1.662
"CBT + stimulants:relaxation therapy",44.8113,0,0.615,0,0,0,0.458,35.965,0,0,0,7.7733,0,0,0,0,0.615,0,0.458,0,0.458,0,8.8463
"CBT + stimulants:sham + neurofeedback",44.4833,0,0,0,11.0333,0,0,0,33.45,0,0,0,0,0,0,0,0,0,0,0,0,11.0333,0
"CBT + stimulants:waiting list",44.7558,0,2.5367,0,0,0,1.7675,4.4067,0,0,0,36.045,0,0,0,0,2.5367,0,1.7675,0,1.7675,0,4.4067
"CBT:CBT + TAU",0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0
"CBT:DBT + TAU",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0
"CBT:cognitive placebo",0,24.98,0,7.8433,0,8.8017,0,0,0,0,0,0,41.625,7.9483,8.6967,0,0,0.105,0,0,0,0,0
"CBT:mindfulness",0,0,2.11,0,0,0,11.385,3.6633,0,0,0,29.955,0,0,0,0,2.11,0,11.385,0,35.7283,0,3.6633
"CBT:mindfulness + TAU",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0
"DBT + TAU:hypnotherapy",0,6.1575,0,16.29,0,6.602,0,0,0,29.0495,0,0,0,6.2495,0.092,29.0495,0,6.51,0,0,0,0,0
"DBT + TAU:mindfulness",0,0,1.266,0,0,0,5.6925,2.198,0,24.134,0,14.9775,0,0,0,24.134,1.266,0,5.6925,0,18.4415,0,2.198
"DBT + TAU:mindfulness + TAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0
"DBT + TAU:neurofeedback",0,0,0,0,22.2033,0,0,0,8.3475,30.5508,0,0,0,0,0,30.5508,0,0,0,0,0,8.3475,0
"DBT + TAU:no treatment",0,6.045,0,5.772,0,17.5767,0,0,0,29.3937,0,0,0,0.002,6.047,29.3937,0,5.77,0,0,0,0,0
"DBT + TAU:psychoeducation",0,0,0.7983,0,0,0,13.86,1.385,0,25.1073,0,9.064,0,0,0,25.1073,0.7983,0,11.2473,0,11.2473,0,1.385
"DBT + TAU:relaxation therapy",0,0,0.492,0,0,0,0.3817,23.9767,0,30.6803,0,5.83,0,0,0,30.6803,0.492,0,0.3817,0,0.3817,0,6.7037
"DBT + TAU:sham + neurofeedback",0,0,0,0,8.275,0,0,0,22.3,30.575,0,0,0,0,0,30.575,0,0,0,0,0,8.275,0
"DBT + TAU:waiting list",0,0,1.9025,0,0,0,1.414,3.305,0,30.6515,0,24.03,0,0,0,30.6515,1.9025,0,1.414,0,1.414,0,3.305
"DBT:DBT + TAU",0,0,12.25,0,0,0,0.8067,1.81,0,27.2042,0,12.3375,0,0,0,27.2042,14.9542,0,0.8067,0,0.8067,0,1.81
"DBT:TAU",0,0,18.375,0,0,0,0.968,2.2625,0,38.0555,0,16.45,0,0,0,0,19.6805,0,0.968,0,0.968,0,2.2625
"DBT:hypnotherapy",0,6.1575,18.375,22.415,0,5.756,0.796,1.81,0,0,0,13.3475,0,6.2218,0.0643,0,15.9535,5.6917,0.796,0,0.796,0,1.81
"DBT:mindfulness",0,0,9.9817,0,0,0,5.9767,0.485,0,0,0,3.52,0,0,0,0,34.785,0,5.9767,0,38.79,0,0.485
"DBT:mindfulness + TAU",0,0,12.25,0,0,0,0.8067,1.81,0,27.2042,0,12.3375,0,0,0,0,14.9542,0,0.8067,27.2042,0.8067,0,1.81
"DBT:neurofeedback",0,0,18.375,0,28.3283,0,0.8067,1.81,7.4892,0,0,14.8258,0,0,0,0,17.4425,0,0.8067,0,0.8067,7.4892,1.81
"DBT:no treatment",0,6.045,18.375,4.9142,0,23.7017,0.8067,1.81,0,0,0,13.6692,0,0,6.045,0,16.2858,4.9142,0.8067,0,0.8067,0,1.81
"DBT:psychoeducation",0,0,15.985,0,0,0,17.5133,0.185,0,0,0,1.3433,0,0,0,0,22.615,0,21.0867,0,21.0867,0,0.185
"DBT:relaxation therapy",0,0,17.145,0,0,0,0.51,26.3317,0,0,0,8.6767,0,0,0,0,27.7467,0,0.51,0,0.51,0,18.56
"DBT:sham + neurofeedback",0,0,18.375,0,7.4167,0,0.8067,1.81,28.425,0,0,14.85,0,0,0,0,17.4667,0,0.8067,0,0.8067,7.4167,1.81
"TAU:waiting list",0,0,2.5367,0,0,0,1.7675,4.4067,0,44.7558,0,36.045,0,0,0,0,2.5367,0,1.7675,0,1.7675,0,4.4067
"cognitive placebo:DBT",0,15.5525,12.25,4.706,0,4.7144,0.6841,1.5083,0,0,0,10.5305,24.9729,4.7572,4.6632,0,12.7229,0.0512,0.6841,0,0.6841,0,1.5083
"cognitive placebo:DBT + TAU",0,12.49,0,4.706,0,5.288,0,0,0,22.484,0,0,22.484,4.776,5.218,22.484,0,0.07,0,0,0,0,0
"cognitive placebo:TAU",0,16.6533,0,5.8825,0,6.6065,0,0,0,29.1423,0,0,29.1423,5.9665,6.5225,0,0,0.084,0,0,0,0,0
"cognitive placebo:hypnotherapy",0,8.4433,0,8.4458,0,0.0025,0,0,0,0,0,0,41.5025,24.52,8.5392,0,0,8.5367,0,0,0,0,0
"cognitive placebo:mindfulness",0,12.49,1.055,4.706,0,4.7147,5.6925,1.8217,0,0,0,13.3415,21.9107,4.766,4.6547,0,1.055,0.06,5.6925,0,16.2182,0,1.8217
"cognitive placebo:mindfulness + TAU",0,12.49,0,4.706,0,5.288,0,0,0,22.484,0,0,22.484,4.776,5.218,0,0,0.07,0,22.484,0,0,0
"cognitive placebo:neurofeedback",0,16.6533,0,5.5385,20.8158,5.288,0,0,6.664,0,0,0,27.4798,5.6085,5.218,0,0,0.07,0,0,0,6.664,0
"cognitive placebo:no treatment",0,8.59,0,0.1075,0,8.6975,0,0,0,0,0,0,41.6742,7.9442,25.14,0,0,7.8367,0,0,0,0,0
"cognitive placebo:psychoeducation",0,15.536,0.6843,3.9217,0,4.0989,13.86,1.1796,0,0,0,7.8327,23.5566,3.9742,4.0464,0,0.6843,0.0525,9.6966,0,9.6966,0,1.1796
"cognitive placebo:relaxation therapy",0,16.6533,0.41,5.8045,0,5.0816,0.3196,22.1458,0,0,0,4.664,27.5395,5.857,5.0291,0,0.41,0.0525,0.3196,0,0.3196,0,5.3936
"cognitive placebo:sham + neurofeedback",0,16.6533,0,5.553,6.606,5.288,0,0,20.8883,0,0,0,27.4943,5.623,5.218,0,0,0.07,0,0,0,6.606,0
"cognitive placebo:waiting list",0,16.6533,1.522,5.8125,0,5.0546,1.1686,2.644,0,0,0,22.1858,27.5204,5.8711,4.996,0,1.522,0.0586,1.1686,0,1.1686,0,2.644
"cognitive training:DBT",0,22.7783,18.375,5.8825,0,5.7594,0.7969,1.81,0,0,0,13.4383,0,5.9411,5.7008,0,16.0452,0.0586,0.7969,0,0.7969,0,1.81
"cognitive training:DBT + TAU",0,16.6533,0,5.8825,0,6.6065,0,0,0,29.1423,0,0,0,5.9665,6.5225,29.1423,0,0.084,0,0,0,0,0
"cognitive training:TAU",0,24.98,0,7.8433,0,8.8017,0,0,0,41.625,0,0,0,7.9483,8.6967,0,0,0.105,0,0,0,0,0
"cognitive training:mindfulness",0,16.6533,1.266,5.8825,0,5.7475,7.59,2.184,0,0,0,17.2433,0,5.9525,5.6775,0,1.266,0.07,7.59,0,20.6933,0,2.184
"cognitive training:mindfulness + TAU",0,16.6533,0,5.8825,0,6.6065,0,0,0,29.1423,0,0,0,5.9665,6.5225,0,0,0.084,0,29.1423,0,0,0
"cognitive training:neurofeedback",0,24.98,0,7.27,30.53,6.6065,0,0,8.3265,0,0,0,0,7.354,6.5225,0,0,0.084,0,0,0,8.3265,0
"cognitive training:psychoeducation",0,22.885,0.7983,4.706,0,4.8553,20.79,1.375,0,0,0,9.483,0,4.766,4.7953,0,0.7983,0.06,11.6563,0,11.6563,0,1.375
"cognitive training:relaxation therapy",0,24.98,0.492,7.7133,0,6.3037,0.3717,32.3033,0,0,0,5.83,0,7.7733,6.2437,0,0.492,0.06,0.3717,0,0.3717,0,6.6937
"cognitive training:sham + neurofeedback",0,24.98,0,7.2942,8.254,6.6065,0,0,30.6267,0,0,0,0,7.3782,6.5225,0,0,0.084,0,0,0,8.254,0
"cognitive training:waiting list",0,24.98,1.9025,7.7267,0,6.2578,1.4003,3.305,0,0,0,32.3567,0,7.795,6.1895,0,1.9025,0.0683,1.4003,0,1.4003,0,3.305
"hypnotherapy:TAU",0,8.21,0,24.435,0,8.795,0,0,0,41.44,0,0,0,8.325,0.115,0,0,8.68,0,0,0,0,0
"hypnotherapy:mindfulness",0,6.1575,1.266,16.29,0,5.7437,7.59,2.1827,0,0,0,17.1525,0,6.2342,0.0767,0,1.266,5.667,7.59,0,20.6012,0,2.1827
"hypnotherapy:mindfulness + TAU",0,6.1575,0,16.29,0,6.602,0,0,0,29.0495,0,0,0,6.2495,0.092,0,0,6.51,0,29.0495,0,0,0
"hypnotherapy:neurofeedback",0,7.6358,0,24.435,30.3483,6.602,0,0,8.3245,0,0,0,0,7.7278,0.092,0,0,6.51,0,0,0,8.3245,0
"hypnotherapy:psychoeducation",0,4.926,0.7983,22.6125,0,4.8524,20.79,1.374,0,0,0,9.4285,0,4.9917,0.0657,0,0.7983,4.7867,11.6009,0,11.6009,0,1.374
"hypnotherapy:relaxation therapy",0,8.0792,0.492,24.435,0,6.3002,0.3707,32.1217,0,0,0,5.83,0,8.1449,0.0657,0,0.492,6.2345,0.3707,0,0.3707,0,6.6927
"hypnotherapy:sham + neurofeedback",0,7.66,0,24.435,8.252,6.602,0,0,30.445,0,0,0,0,7.752,0.092,0,0,6.51,0,0,0,8.252,0
"hypnotherapy:waiting list",0,8.0925,1.9025,24.435,0,6.254,1.399,3.305,0,0,0,32.175,0,8.1675,0.075,0,1.9025,6.179,1.399,0,1.399,0,3.305
"mindfulness + TAU:neurofeedback",0,0,0,0,22.2033,0,0,0,8.3475,30.5508,0,0,0,0,0,0,0,0,0,30.5508,0,8.3475,0
"mindfulness + TAU:no treatment",0,6.045,0,5.772,0,17.5767,0,0,0,29.3937,0,0,0,0.002,6.047,0,0,5.77,0,29.3937,0,0,0
"mindfulness + TAU:psychoeducation",0,0,0.7983,0,0,0,13.86,1.385,0,25.1073,0,9.064,0,0,0,0,0.7983,0,11.2473,25.1073,11.2473,0,1.385
"mindfulness + TAU:relaxation therapy",0,0,0.492,0,0,0,0.3817,23.9767,0,30.6803,0,5.83,0,0,0,0,0.492,0,0.3817,30.6803,0.3817,0,6.7037
"mindfulness + TAU:sham + neurofeedback",0,0,0,0,8.275,0,0,0,22.3,30.575,0,0,0,0,0,0,0,0,0,30.575,0,8.275,0
"mindfulness + TAU:waiting list",0,0,1.9025,0,0,0,1.414,3.305,0,30.6515,0,24.03,0,0,0,0,1.9025,0,1.414,30.6515,1.414,0,3.305
"mindfulness:TAU",0,0,1.5825,0,0,0,7.59,2.7475,0,31.89,0,19.97,0,0,0,0,1.5825,0,7.59,0,24.3,0,2.7475
"mindfulness:mindfulness + TAU",0,0,1.266,0,0,0,5.6925,2.198,0,24.134,0,14.9775,0,0,0,0,1.266,0,5.6925,24.134,18.4415,0,2.198
"mindfulness:neurofeedback",0,0,1.266,0,22.2033,0,7.59,2.198,7.4815,0,0,18.6308,0,0,0,0,1.266,0,7.59,0,22.0948,7.4815,2.198
"mindfulness:no treatment",0,6.045,1.266,4.9062,0,17.5767,7.59,2.1977,0,0,0,17.4742,0,0.0017,6.0467,0,1.266,4.9045,7.59,0,20.9378,0,2.1977
"mindfulness:relaxation therapy",0,0,0.965,0,0,0,6.8267,19.9883,0,0,0,12.1967,0,0,0,0,0.965,0,6.8267,0,32.6917,0,19.53
"mindfulness:sham + neurofeedback",0,0,1.266,0,7.409,0,7.59,2.198,22.3,0,0,18.655,0,0,0,0,1.266,0,7.59,0,22.119,7.409,2.198
"neurofeedback:TAU",0,0,0,0,33.305,0,0,0,11.13,44.435,0,0,0,0,0,0,0,0,0,0,0,11.13,0
"neurofeedback:no treatment",0,7.2017,0,5.772,30.9917,26.365,0,0,8.347,0,0,0,0,0.002,7.2037,0,0,5.77,0,0,0,8.347,0
"neurofeedback:psychoeducation",0,0,0.7983,0,27.0475,0,20.79,1.385,6.2413,0,0,10.3155,0,0,0,0,0.7983,0,12.4988,0,12.4988,6.2413,1.385
"neurofeedback:relaxation therapy",0,0,0.492,0,33.305,0,0.3817,35.0783,8.477,0,0,5.83,0,0,0,0,0.492,0,0.3817,0,0.3817,8.477,6.7037
"neurofeedback:waiting list",0,0,1.9025,0,33.305,0,1.414,3.305,8.4482,0,0,35.1317,0,0,0,0,1.9025,0,1.414,0,1.414,8.4482,3.305
"no treatment:TAU",0,8.06,0,7.6958,0,26.365,0,0,0,42.1208,0,0,0,0.0025,8.0625,0,0,7.6933,0,0,0,0,0
"no treatment:psychoeducation",0,4.836,0.7983,4.1811,0,23.5775,20.79,1.3848,0,0,0,9.6215,0,0.0014,4.8374,0,0.7983,4.1797,11.8046,0,11.8046,0,1.3848
"no treatment:relaxation therapy",0,7.645,0.492,5.4584,0,26.365,0.3814,32.765,0,0,0,5.83,0,0.0014,7.6464,0,0.492,5.457,0.3814,0,0.3814,0,6.7034
"no treatment:sham + neurofeedback",0,7.2258,0,5.772,8.2745,26.365,0,0,31.0883,0,0,0,0,0.002,7.2278,0,0,5.77,0,0,0,8.2745,0
"no treatment:waiting list",0,7.6583,1.9025,5.4165,0,26.365,1.414,3.305,0,0,0,32.8183,0,2.313e-16,7.6583,0,1.9025,5.4165,1.414,0,1.414,0,3.305
"psychoeducation:TAU",0,0,0.958,0,0,0,20.79,1.662,0,34.74,0,11.33,0,0,0,0,0.958,0,13.95,0,13.95,0,1.662
"psychoeducation:relaxation therapy",0,0,0.464,0,0,0,19.65,25.614,0,0,0,5.5,0,0,0,0,0.464,0,18.0907,0,18.0907,0,12.1267
"psychoeducation:sham + neurofeedback",0,0,0.7983,0,6.1833,0,20.79,1.385,27.12,0,0,10.33,0,0,0,0,0.7983,0,12.5133,0,12.5133,6.1833,1.385
"psychoeducation:waiting list",0,0,0.9433,0,0,0,15.965,1.6367,0,0,0,13.385,0,0,0,0,0.9433,0,32.745,0,32.745,0,1.6367
"relaxation therapy:TAU",0,0,0.615,0,0,0,0.458,35.965,0,44.8113,0,7.7733,0,0,0,0,0.615,0,0.458,0,0.458,0,8.8463
"relaxation therapy:sham + neurofeedback",0,0,0.492,0,8.3803,0,0.3817,35.1267,33.45,0,0,5.83,0,0,0,0,0.492,0,0.3817,0,0.3817,8.3803,6.7037
"sham + neurofeedback:TAU",0,0,0,0,11.0333,0,0,0,33.45,44.4833,0,0,0,0,0,0,0,0,0,0,0,11.0333,0
"sham + neurofeedback:waiting list",0,0,1.9025,0,8.3515,0,1.414,3.305,33.45,0,0,35.18,0,0,0,0,1.9025,0,1.414,0,1.414,8.3515,3.305
