"random OR","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43"
"DBT + stimulants:modafinil",0.7026,0,0.0336,0.0203,0.6709,0.0322,0.0307,0.6117,0.6474,0.0334,0.7874,39.3207,0.2149,0.0927,0.8607,0.0326,0.0247,0.9716,0.0141,0.0249,0,0.9477,0.0498,0.05,0.5448,0.0182,0.3673,0.8957,0.0492,0.139,0.0015,0.0835,0.8931,0.025,0.5948,0.5614,0,0.6891,0.6557999999999999,0.5922,47.693999999999996,0,0.0209
"DBT + stimulants:viloxazine",0.7026,0,0.0336,0.0203,0.6709,0.0322,0.0307,0.6117,0.6474,0.0334,0.7874,0,0.2149,0.0927,0.8607,0.0326,0.0247,0.9716,0.0141,0.0249,0,0.9477,0.0498,0.05,0.5448,0.0182,0.3673,0.8957,0.0492,0.139,0.0015,0.0835,0.8931,0.025,0.5948,0.5614,0,0.6891,0.6557999999999999,0.5922,47.693999999999996,39.3207,0.0209
"atomoxetine:DBT + placebo",0.6123,0,3.9121,2.365,0.5846,3.754,3.5734,0.5331,0.5642,3.894,0.6862,0,0.1873,0.0807,0.7501,3.7945,2.8793,0.8467,1.6397,2.9002,0,0.8259,0.0434,0.0436,0.4748,2.1159,0.3201,0.7805,0.0428,0.1212,0.1711,0.0727,0.7783,2.9145,0.5184,0.4893,0,0.6006,4.7899,0.5161,48.387,0,2.4367
"atomoxetine:DBT + stimulants",0.6135,0,3.864,2.3359,0.5858,3.7078,3.5295,0.5341,0.5653,3.8461,0.6875,0,0.1876,0.0809,0.7515,3.7479,2.8439,0.8483,1.6196,2.8645,0,0.8275,0.0435,0.0437,0.4757,2.0899,0.3207,0.782,0.0429,0.1214,0.169,0.0729,0.7797,2.8787,0.5194,0.4902,0,0.6017,4.7829999999999995,0.517,48.8108,0,2.4068
"atomoxetine:bupropion",0.081,8.1581,4.9421,2.9877,0.0773,4.7423,4.5142,0.0705,0.0746,4.9192,0.0907,0,0.0248,0.0107,0.0992,4.7935,3.6374,0.112,2.0714,3.6638,41.0619,0.1092,0.0057,0.0058,0.0628,2.6729,0.0423,0.1032,0.0057,0.016,0.2161,0.0096,0.1029,3.6818,0.0686,0.0647,0,0.0794,3.336,0.0682,0.1382,0,3.0782
"atomoxetine:guanfacine",0.081,0,4.9421,2.9877,0.0773,4.7423,4.5142,0.0705,0.0746,4.9192,0.0907,0,0.0248,0.0107,0.0992,4.7935,3.6374,0.112,2.0714,3.6638,0,0.1092,0.0057,0.0058,0.0628,2.6729,0.0423,0.1032,0.0057,0.016,0.2161,0.0096,0.1029,3.6818,0.0686,0.0647,49.22,0.0794,3.336,0.0682,0.1382,0,3.0782
"atomoxetine:modafinil",0.081,0,4.9421,2.9877,0.0773,4.7423,4.5142,0.0705,0.0746,4.9192,0.0907,49.22,0.0248,0.0107,0.0992,4.7935,3.6374,0.112,2.0714,3.6638,0,0.1092,0.0057,0.0058,0.0628,2.6729,0.0423,0.1032,0.0057,0.016,0.2161,0.0096,0.1029,3.6818,0.0686,0.0647,0,0.0794,3.336,0.0682,0.1382,0,3.0782
"atomoxetine:viloxazine",0.081,0,4.9421,2.9877,0.0773,4.7423,4.5142,0.0705,0.0746,4.9192,0.0907,0,0.0248,0.0107,0.0992,4.7935,3.6374,0.112,2.0714,3.6638,0,0.1092,0.0057,0.0058,0.0628,2.6729,0.0423,0.1032,0.0057,0.016,0.2161,0.0096,0.1029,3.6818,0.0686,0.0647,0,0.0794,3.336,0.0682,0.1382,49.22,3.0782
"bupropion:DBT + placebo",0.7013,6.5919,0.0331,0.02,0.6696,0.0318,0.0303,0.6106,0.6462,0.033,0.7859,0,0.2145,0.0925,0.8591,0.0322,0.0244,0.9698,0.0139,0.0246,33.1789,0.9459,0.0497,0.0499,0.5438,0.0179,0.3666,0.894,0.0491,0.1388,0.0014,0.0833,0.8913,0.0247,0.5937,0.5604,0,0.6878,0.651,0.591,47.2656,0,0.0206
"bupropion:DBT + stimulants",0.7026,6.5173,0.0336,0.0203,0.6709,0.0322,0.0307,0.6117,0.6474,0.0334,0.7874,0,0.2149,0.0927,0.8607,0.0326,0.0247,0.9716,0.0141,0.0249,32.8034,0.9477,0.0498,0.05,0.5448,0.0182,0.3673,0.8957,0.0492,0.139,0.0015,0.0835,0.8931,0.025,0.5948,0.5614,0,0.6891,0.6557999999999999,0.5922,47.693999999999996,0,0.0209
"bupropion:guanfacine",0,8.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"bupropion:modafinil",0,8.2874,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,41.7126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bupropion:stimulants",2.5529,8.0674,0.1281,0.0774,2.4376,0.1229,0.117,2.2227,2.3525,0.1275,2.861,0,0.7808,0.3367,3.1274,0.1243,0.0943,3.5303,0.0537,0.095,40.6051,3.4435,0.1809,0.1817,1.9795,0.0693,1.3347,3.2544,0.1786,0.5052,0.0056,0.3033,3.2449,0.0954,2.1613,2.0399,0,2.504,2.4444999999999997,2.1516,4.0172,0,0.0798
"bupropion:viloxazine",0,8.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"guanfacine:modafinil",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
"guanfacine:stimulants",2.5529,0,0.1281,0.0774,2.4376,0.1229,0.117,2.2227,2.3525,0.1275,2.861,0,0.7808,0.3367,3.1274,0.1243,0.0943,3.5303,0.0537,0.095,0,3.4435,0.1809,0.1817,1.9795,0.0693,1.3347,3.2544,0.1786,0.5052,0.0056,0.3033,3.2449,0.0954,2.1613,2.0399,48.6725,2.504,2.4444999999999997,2.1516,4.0172,0,0.0798
"guanfacine:viloxazine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0
"modafinil:stimulants",2.5529,0,0.1281,0.0774,2.4376,0.1229,0.117,2.2227,2.3525,0.1275,2.861,48.6725,0.7808,0.3367,3.1274,0.1243,0.0943,3.5303,0.0537,0.095,0,3.4435,0.1809,0.1817,1.9795,0.0693,1.3347,3.2544,0.1786,0.5052,0.0056,0.3033,3.2449,0.0954,2.1613,2.0399,0,2.504,2.4444999999999997,2.1516,4.0172,0,0.0798
"modafinil:viloxazine",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
"stimulants:viloxazine",2.5529,0,0.1281,0.0774,2.4376,0.1229,0.117,2.2227,2.3525,0.1275,2.861,0,0.7808,0.3367,3.1274,0.1243,0.0943,3.5303,0.0537,0.095,0,3.4435,0.1809,0.1817,1.9795,0.0693,1.3347,3.2544,0.1786,0.5052,0.0056,0.3033,3.2449,0.0954,2.1613,2.0399,0,2.504,2.4444999999999997,2.1516,4.0172,48.6725,0.0798
